iter	Passed	Remaining
0	274	27153
1	336	16508
2	529	17127
3	704	16913
4	765	14553
5	914	14330
6	1170	15555
7	1295	14896
8	1402	14184
9	1505	13547
10	1553	12565
11	1628	11945
12	1717	11495
13	1794	11022
14	1858	10532
15	1915	10058
16	1975	9645
17	2040	9296
18	2099	8952
19	2170	8681
20	2253	8478
21	2329	8259
22	2372	7943
23	2429	7693
24	2481	7443
25	2534	7213
26	2575	6964
27	2618	6732
28	2685	6573
29	2774	6473
30	2808	6250
31	3084	6555
32	3156	6408
33	3207	6225
34	3257	6050
35	3296	5860
36	3340	5687
37	3388	5528
38	3432	5368
39	3507	5261
40	3574	5143
41	3618	4997
42	3659	4850
43	3746	4768
44	3793	4635
45	3837	4505
46	3863	4356
47	3910	4235
48	3973	4135
49	4037	4037
50	4116	3954
51	4198	3875
52	4265	3782
53	4330	3688
54	4395	3596
55	4476	3517
56	4537	3422
57	4593	3326
58	4643	3226
59	4700	3133
60	4782	3057
61	4875	2988
62	4949	2906
63	4987	2805
64	5021	2703
65	5081	2617
66	5318	2619
67	5380	2531
68	5443	2445
69	5497	2355
70	5555	2269
71	5748	2235
72	5957	2203
73	6111	2147
74	6262	2087
75	6459	2039
76	6577	1964
77	6664	1879
78	6725	1787
79	6794	1698
80	6870	1611
81	7002	1537
82	7081	1450
83	7140	1360
84	7188	1268
85	7244	1179
86	7300	1090
87	7351	1002
88	7476	924
89	7565	840
90	7629	754
91	7697	669
92	7755	583
93	7812	498
94	7878	414
95	7934	330
96	7987	247
97	8041	164
98	8094	81
99	8149	0
